"ランキングから来ました。
まだ、読んでる途中ですが楽しく読んでいます。",4話と5話でVITが下がっているんですけど、何か読み落としたでしょうか？,,"ありがとうございます！
確認いたしました、完全にこちらのミスですね……初期のVITは鳥面と素の数値込みで「2」です、ご指摘感謝です",2017年 06月04日 13:07,2017年 06月04日 20:20
,,"今いる場所で呪いが効かないモンスターがいるってことは
これ以降の場所だとアップデート前まではヴォパール魂貯めるのに最適だったり？","いえ、そうではないのです。「呪い」はあくまでも実力の差を本能的に理解できる「生命」にしか効果を及ぼしません。放たれた矢が対象に怯えて逃げることがないように、生命ですらない神代由来のメカとしてのゴーレムは「呪い」が効きません。逆に自然発生したゴーレムはモンスターですので「呪い」が効きます。
じゃあアンデッドはどうなんだ、という話ですがあれに関してはもともと「生物」であったことと、死亡しているとはいえ残存する肉体自体が「呪い」を感じ取って逃走するのです。",2017年 09月02日 10:12,2017年 09月02日 10:16
遂にヒロインちゃんに出番が！？,45？…45。...45！？ 20レベル以上、上がったのに少ない...？もしかしてウェザエモンのは先払い…？,"サンラクのレベルキャップ開放はいつになるのか…w
新大陸に仲間勧誘楽しみにしてます","…………？（違和感に気付く）
…………！（自作を読み直して気付く）
…………！？（レベルアップボーナスのポイントが少ないぞこれ！？）

はい、間違えてレベルアップボーナスが1レベルにつき5ポイントだと勘違いしてましたねこれ。しかもその上で計算ミスしてるとか脳が設定考えるのに使われすぎて計算能力が失われている……？
至急修正し、明日の更新で報告したいと思います。ご指摘ありがとうございます！",2017年 09月02日 10:16,2017年 09月02日 10:21
,レベルの横の()の中に250で最後のほうの説明では、上限は解放されても150となっているので()の中の数字が何を意味しているのか分からない,,"ステータスポイントです。レベルアップの際に10ポイントが与えられ、レベル79から20レベル上がったので200ポイント、レベル99到達ボーナスでさらに50ポイントが割り振られています
修正前では何をトチ狂ったか「上がったレベル×10」を「上がったレベル÷5」で計算していまして……急遽修正させていただきました。ついでにボーナスも増やしています。
ご迷惑おかけしました、今後とも拙作を宜しくお願いします。",2017年 09月02日 12:18,2017年 09月02日 12:21
やっぱりヒロインは蠍だった…？,"装備にステータス制限があり、レベルキャップに達した状態でステータスを全て振り切るとか、割と正気の沙汰じゃない気がするんですが、胴部位とかの制限どうなってるんでしょうか。
引っかからないのかな？",,"最初は小分けでステータス振りさせようと思ったんですが、冷静に考えて「主人公がプレイしている時点でレベルキャップが開放されたことを知っているのだから衝動のままに全振りしても別によくね？」という感じで主人公には全ブッパしてもらいました。
書いてる自分が言うのもアレですけど、主人公ちょっと衝動的に行動しすぎじゃないですかね……？",2017年 09月03日 7:12,2017年 09月03日 7:24
ＴＨＥ・シンプル。ルストちゃん垂涎。パワードスーツ貸せなかったらこちらをご笑納いただくしかないですわ。,"針と核はどこいった？仕込み針的パイルバンカーでもくっついてるのでしょうか。
ビィラックのお話聞いたげないから隠し機能教えてもらえないかもしれませんね、あったらの話ですが。","無論クリティカルを外すようなヘマはしない←さすがですわー。

え？Ωの細胞再利用しちゃった系ゴーレム？まさかこれで出番終わりなの？別のフラグ踏み抜いた臭が漂ってるんですが。というか、ひょっとしてこれ↓を機械化したような形状なので？
＞より人間に近い姿勢の肉食恐竜の上半身に蜘蛛の下半身、怪獣版アラクネとでも言うべき異形の姿


「邪魔！」と罵られた三角木馬くん、実はハイテク仕様orLv100オーバーだった？","はーオメガについて語りたい！めっちゃ語りたい！でも割と世界観の根っこに食い込むから語れない！はー語りたい！（のたうち回りながら）
オメガ箱君はですねー……他のゴーレムと違って「セル」とついているのはご想像通り「細胞」を意味するセルなんですけどもぉー……それが重要でぇー……実はオメガは他の





…………はい、これ以上は言えません言いません。でも一つだけ吐いてしまうとするなら「Ωは大きなカテゴリに属している」ということです。",2017年 09月03日 7:29,2017年 09月03日 8:17
,5秒登山のルビで60Fって書いてあるけど1Fは1／60秒じゃなかったです？,,"0.2秒=12フレームを1秒=12フレームと勘違いしていたマンがいるらしい、なんと鏡を見ていたら見つけました！
ご指摘ありがとうございます、修正します。",2017年 09月04日 6:57,2017年 09月04日 7:02
,最後のってようは「ジャンプできる足場がないなら作ればいいじゃない」ってことですか？,,「迂回するとロスなので飛び越えてタイム短縮してやるぜ」ですね,2017年 09月04日 6:53,2017年 09月04日 7:03
,,"サンラクは七の最強種を独占できるのかな？

アカネは脳筋？",どちらかと言うと、体育会系ですかね……？,2017年 09月07日 6:11,2017年 09月07日 6:29
,,"呪い解除にNPCにお布施かぁ
好感度補正かかってるしユニークモンスター倒したことで更に補正入ってるしで値切れないかな

お布施用の代金もサンラク基金としてSF-Zooに貢がせたら終わりだしサイガ-100ちゃん相当足下見てたね","サイガ（姉）も仕方がないのです……下手に優遇しすぎるとクラン内から文句が出て最悪「旅狼」側から縁を切られるかもしれない綱渡りをしなければならないのです……というかそもそもそれを匂わせて気取られた時点でペンシルゴンのオヤツが半分確定しているのです……
足元を見た、というよりも「我々は君が苦心している問題を容易く解決することができる、まぁ前金みたいなものさ（札束ポイー）」って感じですね。札束投げつけた奴が濡れ手に粟どころかダイヤモンドくっつけるような連中だったのですが",2017年 09月07日 7:11,2017年 09月07日 7:33
,,ガチ捕食にこだわって実装されたのがリュカオーンならエロ触手にこだわったローパーが実装されてもいいと思う（本気）,"なおエロ重点ではなくガチ捕食重点になりますがよろしいか（真顔）
実際獲物の動きを完全に止められる膂力があったらまずやることは車裂きじゃないですかね……？",2017年 09月10日 8:14,2017年 09月10日 8:28
,,"サンラクにはネタがバレても直前に縁切りされてるからSF-Zooにわざわざ情報提供する必要はないよね、是非もないよね！

しかしパーティープレイのごり押しで一方的にモフるという名の捕食者側だったアニマリアが、初めて野生に牙を剥かれて強烈なシッペ返しを食らったわけですが。
このまま動物カワイイでSF-Zoo続けていけるんですかね？
トラウマになってそれどころじゃなくなってそう。

＞ニッコリ笑顔でサムズアップ。立てた親指をひっくり返し真下へと振り下ろす。

これがオイカッツォとペンシルゴン相手だとサムズアップと親指天地返し動作の間に親指でクビを掻っ切るモーションが追加されるんですねわかります。","実際アニマリアというかSF-Zooの理念もそこまで間違ってはいないんですけどね
シャンフロが「アクションRPG」である以前に「MMOVR」であったのが彼らの間違いの発端ですね",2017年 09月10日 7:52,2017年 09月10日 8:29
,"クソゲー表現をいつも楽しく拝見しています。

今回、ヘイト管理について気になったので投稿します。
リュカオーン戦でタンク4人が全員回復に回ったのが悪手となりましたが、通常こういったゲームでは回復行為のヘイトは他の行為に比べ上昇するヘイトが高く設定されています。ただでさえヘイトを集めやすいタンクが全力で回復を行い、かつ後衛は撮影行為に夢中なのであればヘイトはタンクに集中するものと思われます。

そのため、無防備を晒したものから狙うAI設定や分身体による前衛後衛同時攻撃のような描写がないと違和感を覚えてしまうのですが、その辺りはどう設定されているのでしょうか？",,"これに関しては分身夜襲の判定が理由です。
不可視の分身による攻撃は「分身発生時」には既にターゲットが決まっています。そのため、分身が既に生成された後でいくらヘイトを稼ぐ行動を行なっても無駄なのです。
今回のケースでは透明分身が現れた時点でタンク達が回復しようがヘイト集めようが踊ろうが攻撃は後衛に向かっていました
",2017年 09月10日 12:04,2017年 09月10日 12:48
"流石ユニークモンスター
強さというか能力のステージが違った
",,"やっぱり補食されると
恐怖を感じるよなぁ
何故主人公(変態)は
その事については特に
なにも思わずリベンジを
誓えたのか？","多分無人島でピストル一丁でモンハンさせられたり、銃器は揃ってるけど頭の悪いタワーディフェンスゲームみたいな物量の敵と戦わされたり、頻繁にデスルーラしてるうちに慣れたんだと思います
アニマリアは基本的にパーティプレイかつ安定志向なので、新しいエリアに行く前に適正レベル以上までレベリングするタイプです。さらに言えば彼女からすれば新しいエリアに行くことは開拓ではなく調査に近いため、現地調査前にリサーチするのは当たり前なので普通に攻略サイトなども見ます。
対ドラゴン用陣形からも伺える通り安全に安全を重ねた上で封殺するので「理不尽にキルされる」という経験がなかったわけですね。
",2017年 09月10日 18:24,2017年 09月11日 2:39
,"110ページ目のルストとモルドとの会話で「現状これを知るのは俺くらいの情報がもう一つ」ってありますけど、これは何のことでしょうか？
何回か読み直したんですけどちょっと分からなくて…","
アキツアカネ氏はそろそろ合流しそうな雰囲気…
朱雀ちゃんは、地味かもしれないけど重要な役割だから頑張ってあげてwww","これに関しては「ユニークシナリオEXに直接派生するユニークシナリオが存在するという「確信」」がサンラクだけが持つアドバンテージです。
「かもしれない」という不確定な賭けではなく「それビンゴじゃね」という確信を持ってルスト達の提示した条件を受けることができるわけですね、だからこそクリアすれば自動的に「致命兎叙事詩」に直結する「兎の国からの招待」を発生させたアキツアカネに主人公が焦っていたのです。ベルトコンベア式でユニークシナリオEXの存在が明らかになるわけですから",2017年 09月13日 8:22,2017年 09月13日 8:26
,,リュカオーンの戦闘イメージは大狼シフが通常の3倍の速度ぐらいで襲ってくるスピード感を予測してるんですけど合ってますかね？,"まさしくその通りでございます。ついでに言えばシフを一回りほど大きくして分身能力やら地形攻撃やらを搭載したのがリュカオーンですね。
尤も、プレイヤーもプレイヤーで空を走るわ瞬間移動するわで大概なのですが。
",2017年 09月13日 9:59,2017年 09月13日 10:50
,超高速飛行＆雲軽々と吹き飛ばせるレベルの出力……これで戦術レベルって神代はどれほどまで行けば戦略レベルとして扱われていたんだろうか？,"＞結局ただの強敵じゃねぇか！！

　やった事なんて相手の手札一枚潰しただけだからね、是非もないよね！！

＞哀愁漂う

【悲報】俺氏、初起動が雑過ぎる件について【松明＆扇風機】
　みたいな事を戦術機同士のチャットとかあったら呟いてそう（笑）
　朱雀がこれだったら、他の奴等もサンラククオリティで残念だけど有用な使い方してくれる事を期待してしまいますね！（笑）

＞鎧騎士と半裸

　なんかもうパワーワード以外の何物でもないんだよなぁ……（笑）","気づかれてる方が結構多いのが個人的に驚いていたり。
そうなんです、これで「戦術級」なんです。言い換えれば神代における「戦略級」は……ということです。",2017年 09月13日 9:36,2017年 09月13日 10:51
"大当たり！状況次第では常に空中にいれるんじゃ？
運命の輪は幸運補正かね。

ペンシルゴンは女帝じゃないのか。まぁ本人が女帝だから示唆するまでもないってことだね！",,,"神秘はゲームのプレイ傾向から決定されるため、格上食いばかりしていたペンシルゴンは「力」なんですね
",2017年 09月23日 12:30,2017年 09月23日 12:32
,"　投稿時から少々時間が経ってしまいましたが、ゲームシステム上どうしても気になった点をいくつか指摘したいと思います。
　前回コメント時に「スキルはレベルアップ時に成長する」というシステムに対してカンストプレイヤーの処遇を質問して、出された答えは「わざわざレベルを下げてもう一度上げてスキルの成長を図る」でしたが、はっきり言ってこれはクソゲーの仕様です。
　スキルとその成長派生はシャンフロンの根幹に関わる大事なシステムなのに、何故カンストしたというMMORPGにおいて必然と言える状態になっただけでその恩恵を受けるためにはレベルダウンというペナルティを受けなければなりません？カンストプレイヤーというのはMMORPGにおいて運営時間が長ければ長いほど比重が増える客層なのに、それがただ不利益を被って、クレームを受けても対応しないのは運営としてあり得ません。
　そもそもレベルダウンを当たり前のルーチンに組み込まれることは既に異常と言えます。デスペナとして経験値を失うのは昨今のラノベにおいてはよく見かける設定ですが、実際のMMORPGでは実装されることはほぼありません（個人的にいくつかやってましたが、今まで一度も遭遇しませんでした）。この辺はジャンルの環境に合わせてありだとしても、レベルダウンして成長を図るのがゲームシステムに組み込まれるのはどう考えてもおかしいです。

　防具のステータス付加にも目を疑いました。低レベルとか店売りの装備ならともかく、パワースーツという明らかにレア度の高いエンドコンテンツ装備にもVITしかステータス付加がないのはあり得ないです。防具だからVITのステータスが上がる、ここまではいいですが、VIT【しか】上がらないのは問題です。これでは装備の住み分けが全くできない上に、タンクプレイヤーが一方的に有利になってしまいます。単純に言えば、武器一枠に対して、防具は四枠があります。その武器もステータスの付加を忘れた様子ですが。
　全身を店売りの装備で固めて最低でも1600になるVITに対して、極振りしても600ちょっとしかないSTR。この計算式ではSTRに対してVITの効果は釣り合いません。","　ゲームがメインの話だからこそ、こういうゲームの話はしっかりして欲しいです。
　長文失礼しました。","そもそも運営の想定としては「次のアプデでレベル上限解放するからそれまで待っててね」であるのに対して、プレイヤー達が勝手に「これアイテムのデメリットでレベルダウンすればスキル成長できるね！」と始めたのがレベルダウン式スキル育成です。
そしてレベルダウンペナルティについてですが、これに関してはシャングリラ・フロンティアというゲームが世界観に重きを置いているためです。本来であれば「文字通りこれまでの経験を削るほどの代償を払って一時の間レベル99の力を得る」というアイテムであり、決して「別にレベル99のステータスはいらないがレベルダウンしてさらに自分を鍛えるぜ」というアイテムではないのです。ある意味では運営の想定外の動きをプレイヤー達が行っているわけですね。何故そんなものを実装したかと言われますと答えづらいのですが、これに関しては番外編で語っていくつもりです。簡単に言いますと「神様がそう望んだから」ですかね……
そして防具ステータスに関してですが、これに関しては主人公が悪いです（真顔）
拙作では所謂「モンハン式」の防具システムを採用しており、主人公が頭や腰しか防具を装備しないため、「一式揃え」で発動する効果を描写することができないのです。例えば魔法で効果を付与された鎧があったとして、それは全ての装備を揃えることで初めて効果を発揮するパズルのようなものです。一部例外として「単品で効果を発揮する」装備も考えておりますが、それに関しては未だ登場予定がないため描写をしておりません。
一応【艶羽】の頭装備単品は「それ単体で朱雀に命令を出せる」「電源が入っていなくとも暗視効果がある」という二つの効果を持っています。
さらに言いますとこの作品では基本的に主人公の一人称視点で描写しているため、主人公の「無知」が作品の描写に直結します。そのためあとがきで補完していたのですがこれに関しては自分の怠慢です、申し訳ありません。
防御力に関しては修正を入れ「ステータスで振ったVIT(装備による追加VIT)」と別枠表示にする予定です。

そして最後に武器に関してですが、これはそもそも防具とは異なる計算で処理されています。
防具が「ステータスのVIT+防具のVIT」で計算されているのに対して、武器は「ステータスのSTR、DEX、TEC×モーションボーナス×その他バフデバフの処理」とあくまでも例えですが基本的に武器には明確なパラメータは存在しておらず「倍率」と「効果」が備わっています。
防御力が「自身のVITに防具のVITを加算する」ものに対して武器は「自身のステータスと挙動によるダメージ補正を乗算する」というものです。
例として、STR10のキャラクターがクリティカル軌道のモーションで「ナイフ」を振った場合、その処理は「STR10×クリティカル補正1.5×ナイフが搭載する倍率2=30ダメージ！」となります。
さらに武器によっては器用さや、場合によって魔力などが参照されてダメージを算出するわけですね。
この計算方式に関しましては「武器そのものに攻撃力はなく、武器が使い手からの運動エネルギーを受けることで初めてダメージを生み出す」という認識からこのように設定しました、もしも防具と同じような数値だと「地面に置いた剣を踏むだけでダメージが発生する」ということになりかねないので。
当然武器のダメージ倍率は強い武器であるほど跳ね上がりますので、最終的にガチガチに固めた防具の装甲を貫くことは可能であると考えております。


そもそもこれらの設定を本文で描写すればいいのですが、長々と設定を書き連ね続けては本文の疾走感が損なわれる可能性もあり、妥協案を検討しております。
長々と自分設定を吐き出すのみとなってしまいましたが、ご指摘の方大変感謝しております。
なにぶん世界観の充実ばかり考えているような自分ですので、このようなシステム面でのご指摘は大変参考になりますし、他の方の感想も全て閲覧、参考にさせていただいております。
改めまして拙作へのご指摘ありがとうございます、未だ未熟者ですが皆様により楽しんでいただけますよう努力していくのでどうかよろしくお願いいたします。",2017年 09月24日 19:05,2017年 09月24日 22:52
,,あぁ、流石に「逃走判定が存在しない」相手には無意味か。,"厳密には「クターニッドの呪いで逃走を禁じられている」ですね。主人公は周囲にリュカオーンの威圧感を撒き散らす発生装置であるのに対して、クターニッドの眷属は直接呪いを付与されているので優先度があるのです。
封将はいわゆるギミックボスなので逃走判定がない……で合っています",2017年 09月30日 9:13,2017年 09月30日 10:04
ゾンビ思考描写読みづらっ。し、新鮮な改行が欲しい……。,復活する寸前のゾンビ、不可思議な存在……。,"珍妙な格好？これも全てリュカオーンって奴の仕業なんだ（鳥面を除く）。

死ぬほど忙しい一週間、激動の昨晩を乗り越えてさらに忙しくなるとは。というか、ＧＧＣまで長くとも一週間ってことか。ウェザエモンの二週間よりさらに短いじゃん。準備が必要な予定いきなりぶっ込むにしても突然すぎでしょカツオ。

金の匂いを嗅ぎつけたエルク←超素寒貧はこいつのせいでは？
ゆっくり装備の充実に努めるのも良いかもしれない←止まると死ぬとか言われるマグロじみた奴が何か言っていますね。防具に継続的に金が掛かるとは、課金装備（欄）ですな。
新武器お披露目待ち遠しいです。煌蠍の籠手みたいな甦機装も真化はできるのでしょうか？

＞フィフティシアを作るにあたって
何故よりにもよって船の残骸に寄せた？もしや労働者達は海を越えてやってきた開拓者ユニットだった……？



おや、ラビッツで会えるはずの奴らの描写が無い……もひとつ質問いいかな。忍者と兎侍、どこへ行った？","ここだけの話、かいつまんで説明すると
「新大陸に行くために船を作ろう！」
「うわぁモンスターに船を破壊された！」
「とりあえず拠点を作ろう……」
「そうだ！船の残骸をバリケードに改造してしまおう！」
「もう半分の残骸はバラして小屋の材料に！」
こんな感じですね",2017年 10月01日 9:48,2017年 10月01日 10:17
">>三分、それが呪われた胴体と脚部に装備された防具が木っ端微塵に爆散するまでのタイムリミットだ。
【新説発見？】リュカオーンはムスカだった！【んなワケねー】

>>三分ごとに半裸にメタモルフォーゼする奴が街中を歩いていたらまず間違いなく通報されるのではないだろうか、衛兵的な意味でも運営的な意味でも。
むしろ運営は(現状の環境においてはまだ)強制する側なので、通報されたら訴え返して良いと思うレベル。

>>三分、防具をパッシブな装備としてではなく、時間制限付きのアクティブバフとして完全に割り切って使い潰してしまうのであれば長いが──
世の中には『どれだけ格上の敵であっても一部例外を除き１ラウンド(10秒)以内に滅殺』する開拓地の覇者というのが存在しましてな？　その【一部例外】も『効果の発動完了までに１分かかる』とか『異様に体力が多いので削る作業が面倒』程度でしか無いという(某エイギア卓並感

>>一度父さんが馬鹿でかいクロマグロを持ち帰ってきた時は三日三晩三食マグロという地獄絵図だった。
大トロ１切れ辺りサラダ油大さじ１杯だったかな？　いきなり黄金伝説で言ってた気が(遠い目",">>ウボァウボァと【破落戸ならずもの通り】へと歩いて行く様は、
たぶんルビ設定ミスってますよ。",">>最後に俺を見て「やっべ」みたいな顔をして
ケ○シロウが上半身裸で徘徊していたらヒャッハー！は近づかない。誰だってうわらばっ!?したくはない。",NPCからすれば「明らかに世界観が違うやつが歩いてる」みたいなもんですね,2017年 10月01日 9:37,2017年 10月01日 10:19
,夏休み終わったらどうなるんじゃ……,"描写される純魔のプレイヤーは初めてかな
どんなスキル持ってるんだろう",ついに明かされるシャンフロにおける「魔法」のあれこれ……それもこれも今まで描写したプレイヤーキャラのほとんどが物理キャラだから畜生！,2017年 10月01日 10:15,2017年 10月01日 10:20
,,"スチューデ…student…teacher…海賊…父親
もしかしてクソガキの親父さんて黒髭ティーチ","なぜバレたし（愕然）
",2017年 10月03日 15:27,2017年 10月03日 22:41
,"SANチェックて、1d100じゃないのかな？
時代が違うのかなあ？",,1d100だとGO1クラスになりますからね……流石に奉仕種族程度なら1d10くらいじゃないですかね？ 実際のところこの半魚人たちは奉仕種族とはちょっと違うんですが,2017年 10月06日 8:52,2017年 10月06日 9:05
傑剣への憧刃が良い感じに好き,,SAN高いから精神分析とった奴が発狂して、低いからとらなかった奴が精神分析(殴)はたまにあるよね,"伝説に挑む鍛冶師が作る武器、なので「名匠」持ちのみが作れる武器だったりします。別にユニーク武器ではないですが「名匠」の人口が片手で数えられる程度しかいない上に「神匠」に至っては現状ヴァッシュオンリーワンなので下手なユニーク武器よりレアな武器だったり　
ちなみに
「デュ」ランダル
エ「クス」カリバー
グ「ラム」
で聖剣名剣魔剣から名前を貰っていたりします。他の武器種にも「傑○への憧○」シリーズは存在しており、それに対応したファンタジー的剣や槍から名前を部分的に貰っている、という共通の命名パターンがあります。",2017年 10月07日 2:47,2017年 10月07日 3:31
"まさかクターニッドへの挑戦権を獲得する為のつもりが、直通とは予想以上の展開で続きが楽しみで仕方ないです。
毎日最新話を数回読み直しをする程にこの作品を気に入ってますので、完結まで無理せず頑張って下さい。","誤字報告

戦闘を転ばせて
↓
先頭を転ばせて","最近の話がシャンフロは誰もが否定しない神ゲーとは見えなくなってきてる所ですかね。異世界物やVRの作り込みが凄く、ストーリーが良い良ゲーなら分かりますが。今の設定だと、システム面で若干神ゲー要素を落としている気がします。
私が気になるのは限定◯本しかない武器とクエストの受注についてですね。
限定武器は持っている人にとってはモチベが上がるかもしれませんが、持ってない人にとっては下がる要因ですし、持ち主がゲームを引退したらその世界から消えてしまう為、長期続きそうなゲームとして、その設定はどうだろうと思う次第です。特に後から始めた人でコレクター気質がある人はこの設定のせいで糞ゲーと認定しそうです。
シナリオ受注面について、限定武器の話と繋がりますが、オンラインゲームで一回しか挑戦出来ないのも糞ゲー認定される要素かと思います。初回撃破プレイヤーには恩恵があるにしても他の人は挑む事も出来ないのはゲームとしてどうかなと思う次第です。初回撃破組にはある程度優遇するにしても、後続にも挑めるような何かが欲しい所ですね。例えば闘技場を実装して、そこで討伐済みのボスに挑めるようになるとか。
後、は今回、ペンシルゴンとカッツォにクターニッドに繋がる情報を材料に交渉するはずが、秋津茜とレイ氏を読んでしまった時にどうやって発生したか分からなから大丈夫だろうと安心してたけど、その場合ペンシルゴンとカッツォへの手土産としての話としてはどうだろうとか思ったり、もし、今回のユニークを低レベルまたは、ソロで挑んでしまった場合何処かで、仲間を募る事が出来なければ詰むのではないか？とかいろいろ考えてしまいます。その辺納得が行ける展開にして頂ける事を期待します。ちなみにユニークシナリオEXも含めいいえを押したりキャンセルした場合どうなるのですか？最初からやり直せば再受注可能なのかな？それとも再開しますか？で前の続きからスタート出来るのですか？パーティリーダーが受けたシナリオはメンバーも受けられふ設定が出て来たので、一度キャンセルして、パーティを組み直してリーダーが再受注すれば、いろんな人が途中の過程をすっ飛ばして、ユニークシナリオEXを受ける事が出来たりするのでは？とかいろいろ考えてもやもやしてます。","はい、それに関してはごもっともな御指摘です。ただ、「シャングリラ・フロンティアというゲームの歪み」は想定されたものですので、いつになるかは分かりませんがこちらから明かすのを待っていただければ幸いです。
そして今答えられる部分に回答していきますが、実際の所ユニークシナリオというのはそこまでレアなものではないんです。確かに「勇者武器」シリーズや一部のユニークなどは特定のプレイヤーのみが獲得できる、というある意味で不公平なものではあるのですが、それはあくまでも「作中で表現できている範囲の」ユニーク事情でもあるのです。
シャングリラ・フロンティアというゲームでは通常のゲームとは違い人工知能たちによって現在進行形でゲームが制作されている、と言っても過言ではありません。そのため、超強い武器！ や超すげーモンスター！ などのあらかじめ設定されている目玉要素以外でもユニークは常に生み出され、更新され続けているのです。
ですので本気でユニークを探そうと思えば、「自分だけのユニーク」というものは簡単に入手できるのです。
というかある意味で鍛冶魔法で制作される武器防具が一番わかりやすい形での「自分だけのユニーク」ですね、プレイヤー鍛冶師は当然として、ビィラックやヴァッシュのようなNPC鍛冶職の中でも突出した存在はユニークな装備を作ってくれたりもします。

クエスト関連に関しても前述の「現在進行形でゲームが進んでいる」という要素が重要です。例えば本作における「深淵の使徒を穿て」というクエストですが、実は仮にスチューデが死んだとしても発行はされます。スチューデや、彼の父を慕う海賊団の部下たちが敵討ちのためにプレイヤーに協力を求めるのです。
このようにNPCの行動や変化でシナリオやクエストの発注には変動が起きますしそもそも「恒常的に何度も発注できるクエストやシナリオ」がシャングリラ・フロンティアというゲームにおいては異常なんですよね、これに関してはおいおい明らかにします。ユニークモンスターに関しては……そうですね、これはちょっと今の段階では明かすことができないです、申し訳ありません。

そしてこれが一番重要なことで、シャングリラ・フロンティアというゲームの難易度についてです。
これに関しては簡潔に「このゲームにおけるプレイヤーは英雄ではない」というのが全ての答えです。大前提としてソロ向けの難易度ではないのです、であるためにこのゲームでは野良パーティなどが積極的に組まれます。そしてそんな難易度を一人でクリアするからこそソロプレイヤーは畏敬の念を向けられます。

長々と語ってしましましたが、要するに本文中での説明不足が全ての原因であり、手前の実力不足を痛感しっぱなしです。今後とも精進していくので、拙作をどうかよろしくお願いします。",2017年 10月08日 8:48,2017年 10月08日 9:04
,"コメントに返信するようで申し訳ないが、皆仲良くおててつないで横並びはどうかと思う
あと長い、3行で",きみは深海でSAN値を削るフレンズなんだね！,ちょっとお茶目で昔の縁から定期的に人を自宅に引きずり込んでいじめ倒すだけのニートですよ（目そらし）,2017年 10月08日 8:56,2017年 10月08日 9:05
,">>ちなみに刻傷のせいで回復は四敗した、おのれ乱数。
回復の判定は刻傷じゃなくて愚者のほうでは","メインヒロインちゃんきた
これで勝つる",何故自分で考えた設定を自分で間違えるのか……ご指摘ありがとうございます,2017年 10月13日 6:37,2017年 10月13日 6:45
,,アラバは刻傷に何も反応しないのかな？,"実はすでに反応していたりします。主人公と一緒にいる限り描写されないのですが、アラバの本来の性格はもっと「強引」です。それこそ主人公のトラウマたる「プレイヤーを振り回すNPC」に該当するような。
",2017年 10月13日 8:37,2017年 10月13日 8:46
,,"あー、対象部位を決めない場合は無効化されるけど、対象部位を決め撃ちした場合は効果があるってことは、禁書の幻想殺しと一緒か
あれも右手が範囲内に入ると問答無用で無効化するけど、右手さえ入らなければ無効化できないし","そういうことなのです。人魚達のデバフ攻撃は呪いであるという以前に全身に対して効果を及ぼすものなので刻傷が反応してしまうのです。別の場所で出現する人魚はレベルの低いデバフ攻撃を使うのですがそちらは「聴覚と視覚」にしか効果を及ぼさないため主人公にぶっ刺さります。
レベルが上がり効果が良くなったからこその悲劇ですね、まるでバトル物の最終決戦で「実は初期装備がラスボスに有効だった」という燃えパターンみたいだぁ……
今後とも拙作をよろしくお願いします。",2017年 10月13日 10:00,2017年 10月13日 10:10
,,ダラア〇デュラみたいやな。むっちゃでかいけど、攻撃を食らう要素がほぼ無い,"でも油断してると乙るまでがお約束ですねw
ちなみに「本来の」フィールドであれば海中ステージで地上と同じ動きをするダラデュラさんと戦うような感じですね",2017年 10月15日 9:28,2017年 10月15日 9:55
,,"クターニッド＞＞＞越えられない壁＞＞＞ウェザエモン＞＞リュカーン
ぐらいの力の差を感じる","ぶっちゃけ単純な戦闘力とか諸々込みだとウェザエモンはワースト争いするレベルですね
ただある観点から見るとウェザエモンがぶっちぎりのトップです、クターニッドですらウェザエモンの下に位置します",2017年 10月17日 1:31,2017年 10月17日 1:40
"うん　ハシビロコウは可愛いよね
鳴き声は不気味だけど。
ペリカンの仲間ですね
チョコボールのキョロちゃんの元になったと云われてますが。",,,正面から見るとクッソ怖いけど横から見ると結構間抜け面なハシビロコウ可愛いですよね……,2017年 10月17日 9:43,2017年 10月17日 10:10
,,"やっぱりサンラクさんかなりイカれたゲーマーなんだな…
てかカツオさんそんなに強かったのか。

そしてカツオさんを気に入ってる外人少女登場。
鉛筆さん、俺らが許す。爆破しろ。","というよりも主人公とカッツォの相性は結構複雑でして
基本的に初見同士であれば主人公が圧勝しますが、ある程度カッツォがゲームを把握すると勝率は半々、最終的にカッツォが七割勝利、という感じに推移するのです
動きを完全に把握したトキと、反射速度がイかれたジャギみたいなもんです",2017年 10月19日 3:28,2017年 10月19日 3:44
,"これはあれかな？
サンラクさんがパツキンちゃんを
NTRしちゃうフラグかな？",,NTRするしない以前にそいつガスマスクなんすよ……,2017年 10月19日 9:15,2017年 10月19日 9:16
,,"アメコミにおける「妖精的な可愛らしさ重点のヒロイン的キャラ」ってのが脳が理解できない
腹筋は割れてるよね、アメコミだし
顔立ちは濃いよね、アメコミだし
身長は170くらい？アメコミだし
・・・妖精？
女体化ドラガン・ストイコビッチでも想像しとけばいいんだろうか",ワスプとかそういう感じの……あれ物理的にサイズが小さいだけで普通にナイスバディですね、つまりそういうことです,2017年 10月20日 7:57,2017年 10月20日 8:03
ガスマスクと鉛筆、君らけっこうお似合いですよ,"ジェンガじゃなくドミノかと
合ってたらすみません",,いいえ、ジェンガなのです……ジェンガのようにビルをぶっ壊したのです……当然中にはリーマン的NPC達が……,2017年 10月22日 7:30,2017年 10月22日 7:31
